id,expected_decision,include_in_accuracy,policy_version,threshold,confidence,actual_flagged,reason,error_code,latency_ms,prompt_tokens,completion_tokens,cost_cny,notes
"A01","allow","true","","","","","","","","","","",""
"A02","allow","true","","","","","","","","","","",""
"A03","allow","true","","","","","","","","","","",""
"A04","allow","true","","","","","","","","","","",""
"A05","allow","true","","","","","","","","","","",""
"A06","allow","true","","","","","","","","","","",""
"A07","allow","true","","","","","","","","","","",""
"A08","allow","true","","","","","","","","","","",""
"A09","allow","true","","","","","","","","","","",""
"A10","allow","true","","","","","","","","","","",""
"A11","allow","true","","","","","","","","","","",""
"A12","allow","true","","","","","","","","","","",""
"A13","allow","true","","","","","","","","","","",""
"A14","allow","true","","","","","","","","","","",""
"A15","allow","true","","","","","","","","","","",""
"A16","allow","true","","","","","","","","","","",""
"A17","allow","true","","","","","","","","","","",""
"A18","allow","true","","","","","","","","","","",""
"A19","allow","true","","","","","","","","","","",""
"A20","allow","true","","","","","","","","","","",""
"B01","block","true","","","","","","","","","","",""
"B02","block","true","","","","","","","","","","",""
"B03","block","true","","","","","","","","","","",""
"B04","block","true","","","","","","","","","","",""
"B05","block","true","","","","","","","","","","",""
"B06","block","true","","","","","","","","","","",""
"B07","block","true","","","","","","","","","","",""
"B08","block","true","","","","","","","","","","",""
"B09","block","true","","","","","","","","","","",""
"B10","block","true","","","","","","","","","","",""
"B11","block","true","","","","","","","","","","",""
"B12","block","true","","","","","","","","","","",""
"B13","block","true","","","","","","","","","","",""
"B14","block","true","","","","","","","","","","",""
"B15","block","true","","","","","","","","","","",""
"I01","allow","true","","","","","","","","","","",""
"I02","allow","true","","","","","","","","","","",""
"I03","allow","true","","","","","","","","","","",""
"I04","block","true","","","","","","","","","","",""
"I05","block","true","","","","","","","","","","",""
"I06","block","true","","","","","","","","","","",""
"C01","manual_review","false","","","","","","","","","","",""
"C02","manual_review","false","","","","","","","","","","",""
"C03","manual_review","false","","","","","","","","","","",""
"C04","manual_review","false","","","","","","","","","","",""
"L01","block","true","","","","","","","","","","",""
"L02","block","true","","","","","","","","","","",""
"L03","allow","true","","","","","","","","","","",""

